"HolderAddress","Balance","PendingBalanceUpdate"
"0xe290c81fde00eb9743dc431b320c8a3528e5fd8c","550,304.61","No"
"0x5422115f38484c82fe09734d54abc7ea1954fc26","533,001.725869081798440252","No"
"0x878d13830fee540a3d20dffc035b3964153fde5a","510,000","No"
"0x9327344a546a11fe48dd51f4142b89a0100fd49c","500,000.26","No"
"0xfc9e4b20831e7b2454e84194c7e8bdc04b34aef0","492,775.54","No"
"0x7f8388d826f7f580c3f59d1dbde619ee713f83f4","455,096.68014061088623802","No"
"0x625e0582367ec92bdf8ff35a74b9c68401c45227","452,512.50368147","No"
"0x199b952550a8bc8cf3a64af5fa2de73c2a55768a","449,095.324018592233284171","No"
"0xa0c577a4510510e093f09474a54b8cb01cad1da0","425,420.491106321970052802","No"
"0x73f6d209163e0bd9183f43ea43d03fbd1a2cddc7","424,346.017877706105624237","No"
"0xc6d62fd9621f132ee40658adda90fc4cbf9b20fe","416,669.707800111989982241","No"
"0x4c2b2d1e9f7900e5b78c23d8fa6b6a0bf4a2dd6c","407,865","No"
"0x20b19876d86415f6e452a8b23117d08ef49e17b5","388,616.43","No"
"0xf9f1fd847decdb6b89c83ba7b470dc1e2dcd86f6","382,898.966363523418445273","No"
"0x49665ab1de00602c8258b37ed11945b8cf6da23b","375,000","No"
"0x58b704f25bc8c40a712d93d3a4c3bbd4c1e8acbe","371,999","No"
"0x1050d3303809f73be8db6c074219b079d7dd6bb7","366,748.16","No"
"0xa1643845cfd54f8cf3e52e3e4b3b169312455cd6","363,979.775554517141315788","No"
"0xff8a5c1d47d773d75e0f0ed1ba3bc62f8542e44e","359,605.87166049380695451","No"
"0x34d49641a3d61fa6fb59abf9123f12587114bc7c","345,473.490322466659474933","No"
"0x25081bb31e3ece772bb08cd04c4dd3e8f74e7ce4","341,998.76","No"
"0xd3805db3f25255e81a4aeec921cbb21e8f7e44ca","328,767.312071139717303063","No"
"0x0f5b4255ba1fc23f98877f052516d1ec1c65582f","326,417.711496723961205538","No"
"0x27bac7973a89fbdf3463ece2203dfaf1c849d6cb","325,230","No"
"0x586a28f4831fd39cc02f14c0daf1da66bc0d828f","321,204.605097792015961374","No"
"0x9266216dc6c04ee996c5ce6f4abc21f144f8d273","319,437.811983775960279581","No"
"0xb1860a174f65edf4105db5fcc878d29a24069abe","304,983","No"
"0x44bf0164b4cc88cee6883d27f09f267bea1a8fd3","294,094.692348607991473573","No"
"0xe1b97cdb2e5a7927bcd683ddb276d43c277a6662","290,059.935682593698513289","No"
"0x186a290f73916396e68610dce3ce380de81a5623","288,531.733894963306402521","No"
"0x51706c060cd884acde1c22b5aa06a7ac67f49f13","279,336.879495847900071086","No"
"0xc5ab3cf38c332519712d832d135b2e861e2b4ebf","254,436.555057136444955697","No"
"0x1cd0d2cc014fbacc6f962eb5165716d8b20055b5","253,514.65293364160176304","No"
"0x5781816a59419f3ddcbd6f8178fd953b3e325826","252,023.3037853339155","No"
"0x519108bac4ec979bf57104259701d33a3b37c244","247,706.18","No"
"0x71d0fdfbb45ae71c9dc4e72fcedd552eae1c10d1","228,775.81","No"
"0x5b3322e8b84fdffc29670c0e5a0185c4710a33ef","223,290.167059903531565242","No"
"0xfd236f948549bd4b5c82527ba8adc2adcd67cc5a","219,040.652859128362123164","No"
"0x3040421318eb7b69cf919bf3310c50ef928a4f0e","218,990","No"
"0x97f17d2971b97b836b193f8047cde7180174eb69","216,228.01489651570707253","No"
"0xf7f54f911e1aef0565fc495f73765ee05f1b873a","210,689.989962417512032066","No"
"0x612a7a518bfd967954f07f1cd1feb9b1c044f547","210,397.319922958045052864","No"
"0xcff31d815daebd43c509129effee754a619e9e7f","202,998.92","No"
"0xbcf782a9d3f276927f82bdb3386cb65b57ccd898","202,111.49263848873285","No"
"0xf1e027786cdc98fec823645fc97772713bfef0bc","201,081.215095383630071116","No"
"0x160e31030013587a167e11c60fd4062c0b2872dd","200,091.71","No"
"0x804833624f81ebf76353e16c106a5b6d5cd1b0b5","200,000","No"
"0x0c69d38aa4800ac5fc276ea2838d2b2224e59f9c","199,985","No"
"0xad5e55b89eeed8f4fcb03396961c9675ee0c5ff3","199,937.986803585156423496","No"
"0x58175d33774ade676e459448d0bd0178dbf86544","194,542.245149096310670585","No"
"0xdb702a174e7e5e8a1ef2227e64ca54b0d4114ebc","192,679.190552264843171444","No"
"0xa1488ede09cb561721115325e6235bb501b4f325","178,522.36","No"
"0x24bf5e888f91f5ec233e1f32ad2f1cd7eb8b0323","176,107.764640387131539723","No"
"0x5036a93b79f3f02b2b4e302422ba14c8f7e28b14","174,972.768423140824445863","No"
"0xa1862ad2e58cbe5187bfb147919528d89e4b0e8a","172,167.605526965522950843","No"
"0x72ddb9a137f969071853d11165539052a8936c78","170,829.232290915915424009","No"
"0x4db7acf6238ac43a4682bbcbaee337685d54c117","170,115.95","No"
"0xebc0b8222b7324a359a7d102b273a76b0e5d3ca3","169,833.939452688717885217","No"
"0x8730c649f9a4e81c8ead1ee92534356b3fb1d3ce","168,912.289377353014690049","No"
"0xfae3777c26398821989e207d9716615fee422f33","168,207.574270977330526275","No"
"0xef2ef1ed327fb89aae1c222fc2b6bedf18f93d01","154,980.48","No"
"0x74155f9bc0e4cf3968a532c893eb64b78d6b2992","151,869.33","No"
"0x28de1204b3708e9463c13df9a15f0c3a39c7d36a","151,859.05","No"
"0x0ea943cb7466a27d5c9887295d1b452c0ce81f44","150,321.631149198053893403","No"
"0x7ee1a895178f3520372e00c1f4b7db0f8b99d374","148,128.322408771568760381","No"
"0x0c5615c696d289535430b84ecf07532873c238af","147,365.23","No"
"0x14586bd98de4f32b9efbd576162af2ee02485925","143,978.555979953697205962","No"
"0x5261a4601f8e3016555a31f5b281d8ad57e1233d","141,879.513049420512175926","No"
"0x2d139c2f6b6f0cb3e836301f2ec6379902761110","139,327","No"
"0x09dbef6e84ad83732c9d5b7f14ffc216030016fc","137,684.72593007772906328","No"
"0x62885e09d1219e9048c86a0d58bbe09e0004b959","137,330.85","No"
"0x4685de79319a8f845d5a7dc399eabf4bd5efc996","128,213.18","No"
"0xa83ac927631f7c912146ff148dcdd936d135aa98","127,843.468859392955993712","No"
"0x74a34a38566ece6b901caf294537a18edc317a7c","124,255.623887795371874666","No"
"0xe0cdf56728d6a6251aa39c311486c222f90e41a8","121,833.09","No"
"0x8a392ead5af197f3e31871d735f17674fad0d063","118,946.777275677572567165","No"
"0xa36f5f450762716c4050c17b7d97341736df755a","118,411.312819037417258751","No"
"0x07b4ff7d50b980179092eefbfefd1c5ecfe3dd32","117,394.33","No"
"0x0ca0d5f9dc2ace885c8e6655710da4900170a16a","112,000","No"
"0xab946d434f0553a700a00b2edd4fb657bb0fabb6","109,981.013451940049746368","No"
"0xec1fb3f7f376936c208817563d953ebddaf2af52","105,100.68","No"
"0xe4216ed6a0450910cf607dca69cadbce645958f4","104,978.774647921806322854","No"
"0xbef244b96f861a3b15b498d03631423ed80991a7","104,285.850090051801005567","No"
"0xd8e74f85cffa74ea3a277b438549f468d87d704d","102,546.329410422751274392","No"
"0x818908c3e87070aa009c69262a47582a0ba4a2b7","102,323.34","No"
"0xa647025b332e2ad80c52af54128681792c2dd927","101,755.91","No"
"0x8db1a32db538ab74dfad4e2b341af5af658126f4","101,555.717617585003878833","No"
"0x48780e2a579774e0fc81a2178b4bca528947e094","100,989.47","No"
"0x75e23878a1aede951c8a16b71f953faba23f39b3","100,931.31","No"
"0xdd5b76cb24aec8d473ccdfcaae2b326090244104","100,502.991269383286574369","No"
"0xcb31bb34a39e63eb06202376888cdc357340049e","100,322.16","No"
"0xbe2296ded0e038a99256995c70cbe2ded7f80a9e","100,000","No"
"0x3e011c14534bc57dd08c64b22a06ad667b748224","99,664.54","No"
"0xab9436dd90fd580dd783a7f6bf8d064cec9f05b1","99,592.617418913246828854","No"
"0xbe160fca7e7e69408899679926992b2f79eb06e3","99,267.598230756606296049","No"
"0xe6edc71d4a4eca28c582f40c24a9b93b15538e24","98,000","No"
"0xa47b1fc5ed4b296dea37806120d9bcefccd80ba6","95,957.384269790112698486","No"
"0x1250ca937fe5cc96ca7c6d7a8d112ac333157127","95,492.115305258364495289","No"
"0xf6ee32a99df920af02ea2760eaf5f9c0050c331e","95,317.58","No"
"0xc03091978e98f8fbf529e5719b16dec60af5f34b","94,138.494560245921509337","No"
"0x78a366536aa620af4dd7bca9ba01840786c651e4","91,227.738752871203826701","No"
"0xa845335ca02064710b078647a1d864dc131f00ad","91,189.622840101765152635","No"
